CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Vutukuru B.O,521401,BO,Delivery,KRISHNA,ANDHRA PRADESH,17.0182040,80.4335770
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Chiravada B.O,521109,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.5595590,80.9341280
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Maddulaparva B.O,521215,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.9300000,80.7500000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Narasapuram B.O,521215,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.9802000,80.8062000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Telladevarapalli B.O,521215,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.9800000,80.7300000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Veldipadu B.O,521312,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.5000000,80.8600000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Kothapalli B.O,521111,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.7200000,80.9400000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Mallavalli B.O,521111,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.6800000,80.8900000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Mirzapuram B.O,521111,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.7100000,80.9200000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Pallerlamudi B.O,521105,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.6900000,80.9800000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Perikeedu Bridge B.O,521105,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.6100000,80.9700000
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Akumarru B.O,521149,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Kankata B.O,521149,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Kosuru B.O,521150,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Mallampalli B.O,521150,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Chitturupu B.O,521132,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Srikakulam B.O,521132,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Swatantrapuram B.O,521328,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Salempalem B.O,521328,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Mangalapuram B.O,521131,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Pedaprolu B.O,521125,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Vemulamada B.O,521135,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Ganapeswaram B.O,521120,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Kammanamoulu B.O,521120,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,V.Kothapalem B.O,521122,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Chittiguduru B.O,521149,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Chitturu B.O,521150,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Divigollapalem B.O,521328,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Hamsaladeevi B.O,521328,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Jayapuram B.O,521328,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Lingareddipalem B.O,521328,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Mandapakala B.O,521328,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Bhogireddipalli B.O,521131,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Daliparru B.O,521131,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Endakuduru B.O,521131,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Kothapalli B.O,521403,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.9694760,80.5265740
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Ammireddigudem B.O,521403,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.9707390,80.5005620
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Arlapadu B.O,521403,BO,Delivery,KRISHNA,ANDHRA PRADESH,17.0263890,80.4932100
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Erramadu B.O,521403,BO,Delivery,KRISHNA,ANDHRA PRADESH,17.1127280,80.6021250
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Dundiralapadu B.O,521401,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.7660830,80.5053140
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Konijerla B.O,521401,BO,Delivery,KRISHNA,ANDHRA PRADESH,17.0469530,80.4067240
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Lankapalli B.O,521131,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Chiruvolulanka B.O,521125,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,K.Kothapalem B.O,521125,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Kokkiligadda B.O,521125,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Nagayatippa B.O,521125,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Dd.Puram B.O,521120,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Edurumondi B.O,521120,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Etimogga B.O,521120,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Nangegadda B.O,521120,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Elakurru B.O,521156,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Mantripalem B.O,521156,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Tallapalem B.O,521002,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Pedayadara B.O,521003,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Polatitippa B.O,521003,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,S.N.Gollapalem B.O,521003,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Saradanagar B.O,521003,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Jakkamcherla B.O,521332,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Mukkollu B.O,521332,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Kurada B.O,521356,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Pittalalanka B.O,521122,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Puligadda B.O,521122,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Ramachandrapuram(Divi) B.O,521122,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,V.Rudravaram B.O,521133,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Kokanarayanapalem B.O,521149,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Chinamuttevi B.O,521136,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Pedamuttevi B.O,521136,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Tadepalli B.O,521132,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Velivolu B.O,521132,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Chodavaram B.O,521120,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,T.Kothapalem B.O,521120,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Talagadadeevi B.O,521120,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,P.G.Lanka B.O,521156,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Tarakaturu B.O,521156,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Nimmaluru B.O,521158,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
